Min,Max,Range,Scale,File_Source,Type,Mean,Variance
0.2148258856334947,0.7966880391400882,0.5818621535065935,1.7186201129829424,scaler_minmax_Combustion.pkl,MinMaxScaler,,
,,,45.189715030953806,scaler_std_Combustion.pkl,StandardScaler,1133.7087087087086,2042.1103445788126
,,,44.02834969264393,scaler_std_Combustion.pkl,StandardScaler,1112.6126126126126,1938.4955766577384
,,,44.19879948843137,scaler_std_Combustion.pkl,StandardScaler,1122.2402402402402,1953.533876218561
,,,43.50556778300699,scaler_std_Combustion.pkl,StandardScaler,1108.1591591591591,1892.7344281218157
,,,50.68959088228077,scaler_std_Combustion.pkl,StandardScaler,1096.900900900901,2569.434623813002
