,PC1,PC2,PC3,PC4,PC5
Exh Cyl #1 Temp,0.44982034035061197,-0.3830707022087312,-0.429531052813229,0.6818693301779466,-0.0384160090067497
Exh Cyl #2 Temp,0.4555474188098624,0.013459646763588878,0.8540558047628168,0.24116815334241387,-0.06871674678721715
Exh Cyl #3 Temp,0.45511275709842886,-0.23568150219541928,-0.058543879471175175,-0.4276959358257202,0.7422771776794723
Exh Cyl #4 Temp,0.4557865010145221,-0.19959786908025376,-0.14118738259443292,-0.5391936130598383,-0.6646470693406926
Exh Cyl #5 Temp,0.4186517101860885,0.8704542464712557,-0.25046056414672246,0.05690845710197271,0.03272741474666732
