,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Exh Cyl #1 Temp,0.3773306937614217,-0.04414776954878493,-0.43417444955356727,-0.10923251656313977,0.13108311286698643,-0.4574683410159625,0.6544779105922686,-0.020782822366432877
Exh Cyl #2 Temp,0.3827051641455925,0.023753797129413702,-0.07707296961670408,-0.15624559336080604,-0.6007896810341256,0.6263535124434868,0.2625447287390984,0.02056425033780116
Exh Cyl #3 Temp,0.3821189260597889,-0.026873867369252284,-0.2949143926462218,-0.12975839442053883,-0.09517855869724484,-0.14391932601668456,-0.5416848189204684,-0.6528836099959665
Exh Cyl #4 Temp,0.3834547933494855,-0.01784237231280419,-0.25379676507136895,-0.033140050696038786,-0.014677858466631388,-0.12147757758417782,-0.4542617224304527,0.7522014733011092
Exh Cyl #5 Temp,0.3557291024679764,0.15129617662376815,0.7584733873355205,-0.2896600214025463,-0.18920083004514424,-0.3935785729215298,0.023108677178778594,0.012099883782216981
Exh Right Temp,0.37152069841863977,0.08757553680798781,0.1536483188906511,0.9077287748231939,-0.001308939873795767,-0.0015631777864927032,0.0420765946510165,-0.07034887912090411
Exh Left Temp,0.3793592956398753,0.09045385560435537,0.156025164676933,-0.1930648889564665,0.7591169178373227,0.4555142226760495,0.023613257666333147,-0.04446834281900153
JW Temp,-0.09808951932550523,0.9786236604879337,-0.17587345039013919,-0.023907321246171724,-0.0231822509468268,-0.0231230731756651,-0.009525635291897427,0.0028837077913677848
