,PC1,PC2,PC3
Exh Right Temp,0.6877059171831996,0.16484367905653788,-0.7070269676231022
Exh Left Temp,0.6878429895074902,0.16358466929656026,0.7071860276875767
JW Temp,-0.23223391926377382,0.9726595588623185,0.0008884239679608913
