,PC1,PC2,PC3
Exh Right Temp,0.5769984095168006,-0.5799036105805436,-0.575138798770116
Exh Left Temp,0.5397666988280476,0.7992337568608106,-0.2643431722788142
JW Temp,0.6129639028942525,-0.15791518080857303,0.7741692640623505
