,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Exh Cyl #1 Temp,0.3959319936462885,-0.12874199075069628,-0.2797076184021618,-0.06892712140827778,0.660474027697287,-0.183413370302758,-0.5159208718443259,0.08738023056664528
Exh Cyl #2 Temp,0.3823092470650242,-0.3534862697110645,-0.24158017849255528,-0.10750562171903419,-0.27833591722082085,-0.06498421932685051,0.3111198120342551,0.693166131872969
Exh Cyl #3 Temp,0.3657621537805314,-0.38315471690987135,-0.3233374006202044,-0.19628443767046483,-0.13589917951863123,0.342570862384431,0.17356792967075363,-0.6406142721648189
Exh Cyl #4 Temp,0.3705405050240064,0.4242320533435562,-0.009396470175479163,0.17556914827342268,0.30663738279269165,-0.3386093365211035,0.6455575266526428,-0.16244011835799474
Exh Cyl #5 Temp,0.392882316359778,0.28509217898502015,-0.0027664031926137173,0.007664924145398901,-0.6026274360043609,-0.4519829719093622,-0.409051770990829,-0.17183639327170272
Exh Right Temp,0.29156484626409085,-0.3283093690219493,0.3982927329709531,0.7866878498762909,-0.008035605531779996,0.14989848634475195,-0.08226343221079624,-0.019662779842725298
Exh Left Temp,0.33382585347860044,0.5693357620025786,-0.007792976794805548,-0.02509811851171166,-0.022292795742625507,0.7092250417982311,-0.12301180525139829,0.2123615095236001
JW Temp,0.27420613136523264,-0.13595875318587003,0.7746365681171318,-0.5429300573537462,0.10043275401433814,-0.019162079230060535,0.030614412717707165,-0.010009469818786115
