,PC1,PC2,PC3,PC4,PC5
Exh Cyl #1 Temp,0.45506666019230535,-0.14013669104421567,0.7607260824428874,0.28895665375103097,-0.3332805460099685
Exh Cyl #2 Temp,0.44875506751754457,-0.42042673377396095,-0.4093776594974356,-0.4307614745118775,-0.5183770200213715
Exh Cyl #3 Temp,0.4473103565572659,-0.47432867065315354,-0.05303250138297369,0.07341389932812017,0.752810540770737
Exh Cyl #4 Temp,0.4364331046087176,0.6360972578561452,0.1671160273343658,-0.5771302696853211,0.20952161933895294
Exh Cyl #5 Temp,0.4482999155442179,0.41712787019766673,-0.4721922771504663,0.6264819674402045,-0.09790977223502009
