,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Exh Cyl #1 Temp,0.3935461370132082,-0.14826013573107363,0.08921578453775761,-0.23180967046638778,-0.14287433576653918,0.7652889573839492,-0.2639646646971986,-0.29272441363732404
Exh Cyl #2 Temp,0.3886895576287981,-0.059382707635021646,0.2509118679291952,-0.36010539062578517,0.1159740017033065,-0.3616293190096552,0.4837339952770463,-0.5239629303430117
Exh Cyl #3 Temp,0.3846870354786028,-0.11666492791016407,0.23943518487746585,-0.4077544666288174,0.3184770745069233,-0.09891311516937473,-0.1502162352666013,0.6935675149837058
Exh Cyl #4 Temp,0.38969660647279286,-0.08531029456727374,-0.28960809986680797,0.2341684968176861,-0.42952505326488793,0.15308233469452287,0.6054183828801231,0.35734238655273337
Exh Cyl #5 Temp,0.3972794266748307,-0.05098750053096812,-0.20256325124838703,0.04136531557858593,-0.49511311927828455,-0.4952390549751574,-0.5451654428569535,-0.09603275119308059
Exh Right Temp,0.3107102250960394,0.2772016962234156,0.6215315237972173,0.6557548197217093,0.07881012147374611,0.01209295532828264,-0.06274884728144664,-0.002804339362138711
Exh Left Temp,0.35988187153019646,-0.0034533978770677452,-0.5776493139052852,0.2919503345937874,0.651872726527161,0.01033430747651723,-0.07674807412959872,-0.14361151931087718
JW Temp,0.10152614035898755,0.934960770763708,-0.16391974673775714,-0.28023083979518815,-0.06270126810013467,0.06945705679401327,0.01395339150807071,0.034516142881618125
